REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
RE1,AN_DEMRESNGSWHT_FOR_LOW_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_DEMRESNGSWHT_FOR_LOW_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_DEMRESNGSWHT_FOR_MID_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_DEMRESNGSWHT_FOR_MID_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_DEMRESNGSWHT_NAT_HIG_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_DEMRESNGSWHT_NAT_HIG_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_DEMRESNGSWHT_NAT_LOW_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_DEMRESNGSWHT_NAT_LOW_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_DEMRESNGSWHT_NAT_MID_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_DEMRESNGSWHT_NAT_MID_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_DEMRESWOOCKN_HIG_RUR,AN_RESDHT_RUR,1,2022,1.0
RE1,AN_DEMRESWOOCKN_HIG_URB,AN_RESDHT_URB,1,2022,1.0
RE1,AN_DEMRESWOOCKN_LOW_RUR,AN_RESDHT_RUR,1,2022,1.0
RE1,AN_DEMRESWOOCKN_LOW_URB,AN_RESDHT_URB,1,2022,1.0
RE1,AN_DEMRESWOOCKN_MID_RUR,AN_RESDHT_RUR,1,2022,1.0
RE1,AN_DEMRESWOOCKN_MID_URB,AN_RESDHT_URB,1,2022,1.0
RE1,AN_DEMRES_MEDPVA_URB,AN_RESCLIM_URB,1,2022,0.057
RE1,AN_DEMRES_MEDPVA_URB,AN_RESILU_URB,1,2022,0.047
RE1,AN_DEMTERBGSCKN_HIG,AN_TERDHT,1,2022,1.0
RE1,AN_DEMTERBGSCKN_LOW,AN_TERDHT,1,2022,1.0
RE1,AN_DEMTERBGSCKN_MID,AN_TERDHT,1,2022,1.0
RE1,AN_DEMTERELCACL_HIG,AN_TERIHT,1,2022,1.0
RE1,AN_DEMTERELCACL_LOW,AN_TERIHT,1,2022,1.0
RE1,AN_DEMTERELCACL_MID,AN_TERIHT,1,2022,1.0
RE1,AN_DEMTERELCAIR_CEN_HIG,AN_TERCLIM_CEN,1,2022,1.0
RE1,AN_DEMTERELCAIR_CEN_LOW,AN_TERCLIM_CEN,1,2022,1.0
