Parametro,Dimension,Codigo_Destino,Region,Anio,Participacion_Efectiva,Valor_Absoluto
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2036,0.004413,0.008012
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2037,0.004413,0.008441
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2038,0.00441,0.008874
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2039,0.004406,0.009309
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2040,0.004404,0.009755
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2041,0.004401,0.010206
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2042,0.004401,0.01067
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2043,0.0044,0.011138
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2044,0.0044,0.011616
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2045,0.004402,0.012104
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2046,0.0044,0.01259
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2047,0.004402,0.013091
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2048,0.004404,0.013599
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2049,0.004405,0.014107
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2050,0.004408,0.014627
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCFAN_HIG,IN,2051,0.004412,0.014804
